IDENTIFIER	NAME	IMAGE	LEVEL	hp	maxHp	damage	accuracy	cRate	cDamage	bRate	defence	earthReduction	waterReduction	fireReduction	physicalReduction	SKILLS	ITEMS	XP	EUROS	FLEEABLE	DEATH_HP	MUSIC	UNIQUE	LIVING
Maximilian	Maximilian	Maximilian	11	500	500	18	999	0.1	200	5	17	66	-50	75	50	{'Fireball': 20, 'Smoulder': 30, 'Burning Mind': 20, 'Healing Light': 10}	{'Firebreath Shield': 50, 'Fire Wand': 50}	1000	500	0	0	Canonical Battle	1	1
Skeleton Mage1 Unfleeable	Mad Skeleton Mage	Skeleton Mage1	12	400	400	15	999	0.1	200	0	35	75	0	-100	0	{'Poison Cloud': 20, 'Duststorm': 80}	{}	360	20	0	0	Mob Battle	0	0
Skeleton Mage2 Unfleeable	Mad Skeleton Mage	Skeleton Mage2	12	400	400	15	999	0.1	200	0	35	25	50	-100	0	{'Icicles': 60, 'Hailstorm': 40}	{}	360	20	0	0	Mob Battle	0	0
Light Gryphon	Light Gryphon	Light Gryphon	12	700	700	41	90	10	200	0	15	0	0	0	0	{'Swoop': 10, 'Healing Glow': 20, 'Steadfast Slash': 20, 'Fireball': 10}	{}	380	50	0	0	Mob Battle	0	1
Dark Gryphon	Dark Gryphon	Dark Gryphon	12	800	800	41	90	10	200	0	65	0	0	0	0	{'Swoop': 10, 'Shield Breaker': 20, 'Fireball': 10}	{}	380	50	0	0	Mob Battle	0	1
Magical Gryphon	Magical Gryphon	Magical Gryphon	12	600	600	26	999	0.1	200	0	20	0	0	0	0	{'Quicksand': 20, 'Fireball': 50, 'Swoop': 20, 'Hailstorm': 10}	{}	390	70	0	0	Mob Battle	0	1
Mixed Gryphon	Mixed Gryphon	Mixed Gryphon	12	750	750	47	90	10	200	0	45	0	0	0	0	{'Swoop': 10, 'Healing Glow': 20, 'Crush': 20, 'Fireball': 10}	{}	390	50	0	0	Mob Battle	0	1
Pirate Captain	Pirate Captain	Pirate Captain	13	770	770	63	90	4	200	0	50	0	25	0	0	{'Floodtide': 3, 'Steadfast Slash': 5, 'Expunging Lunge': 5}	{}	430	200	0	0	Important Battle	0	1
Phoenix	Phoenix	Phoenix	13	900	900	47	999	0.1	200	0	30	0	-100	100	0	{'Fireball': 40, 'Smoulder': 20, 'Burning Mind': 5, 'Healing Glow': 10, 'Fire Claw': 5}	{}	440	70	0	0	Important Battle	0	1
Skeleton Commander	Skeleton Commander	Skeleton Commander	13	850	850	60	80	10	200	0	70	25	0	-100	25	{'Duststorm': 5, 'Deep Thrust': 10}	{}	450	100	0	0	Important Battle	0	1
Mad Scientist	Mad Scientist	Mad Scientist	14	850	850	25	999	0.1	200	0	10	25	25	25	25	{'Smoke Bomb': 10, 'Scorch': 15, 'Zap': 15, 'Poison Cloud': 10, 'Fire Ray': 25, 'Ice Ray': 25}	{'Magical Barrier': 5}	500	50	0	0	Important Battle	0	1
Pespozeor	Pespozeor	Pespozeor	50	6000	2000000	25	50	10	200	0	30	0	-100	50	0	{'Bite': 8, 'Crush': 3, 'Fire Claw': 10, 'Scorch': 10, 'Aerial Assault': 10}	{}	400	0	0	3000	Guardian Battle	0	0
Nameless Beast	Nameless Beast	Nameless Beast	15	9999	9999	37	60	10	200	10	120	15	15	15	33	{'Rumble Strike': 15, 'Crush': 30, 'Shield Breaker': 3}	{}	9999	0	0	0	Important Battle	0	1
Marciano3	Marciano	Marciano3	16	400	400	90	80	10	200	0	0	90	90	90	90	{'Deep Thrust': 15, 'Restore': 15, 'Bloodrush Crush': 15, 'Steel Twister': 1}	{}	2000	0	0	100	Rival Battle	0	1
Enraged Hermit	Enraged Hermit	Hermit	19	2000	2000	26	100	20	200	0	12	95	95	95	90	{'Fireball': 15, 'Icicles': 15, 'Bolt': 15, 'Floodtide': 25, 'Melting Touch': 25, 'Hailstorm': 3, 'Firestorm': 2}	{'Gemmed Habiliment': 7}	5000	250	0	0	Important Battle	0	1
Jazidhu	Jazidhu	Jazidhu	20	1000	1000	25	25	10	200	0	1000	99	99	99	0	{'Aerial Assault': 10, 'Reckless Rack': 10, 'Diamond Cutter': 20}	{}	800	2000	0	0	Important Battle	0	1
Greek Guard	Greek Guard	Greek Guard	20	5000	5000	51	90	2	200	7	110	50	0	0	75	{'Smoke Bomb': 10, 'Death Dart': 7, 'Steadfast Slash': 7, 'Helix Swing': 7, 'Deep Thrust': 15}	{'Misty Axe': 45, 'Fortified Kite Shield': 45, 'Silver Blade': 10}	10000	200	0	0	Canonical Battle	1	1
Marciano4	Marciano	Marciano4	21	500	500	150	60	4	200	0	0	90	90	90	90	{'Deep Thrust': 15, 'Reinvigorate': 15, 'Aerial Assault': 15, 'Steel Twister': 1}	{}	5000	0	0	125	Rival Battle	0	1
Rumadan Man Unfleeable	Rumadan Man	Rumadan Man	2	100	100	5	90	10	200	0	1	0	0	0	0	{'Fling Dung': 8}	{'Wool Gambeson': 8}	20	5	0	0	Mob Battle	0	1
Rumadan Warrior Unfleeable	Rumadan Warrior	Rumadan Warrior	3	100	100	11	90	4	200	0	2	0	0	0	0	{'Deep Thrust': 10}	{'Wool Doublet': 8, 'Long Sword': 3}	40	10	0	0	Mob Battle	0	1
Rumadan Assassin Unfleeable	Rumadan Assassin	Rumadan Assassin	11	450	450	40	90	33	200	0	10	0	0	0	0	{'Rapid Stab': 25, 'Deadly Stab': 10, 'Deep Thrust': 10}	{'Merciless Dagger': 5}	310	110	0	0	Mob Battle	0	1
Rumadan Ruffian Unfleeable	Rumadan Ruffian	Rumadan Ruffian	11	600	600	35	80	10	200	5	25	0	0	0	0	{'Shield Breaker': 12, 'Bloodrush Crush': 5}	{}	310	50	0	0	Mob Battle	0	1
Rumadan Disciple Unfleeable	Rumadan Disciple	Rumadan Disciple	16	1400	1400	20	999	0.1	200	0	30	40	40	40	0	{'Poison Cloud': 5, 'Deadly Stab': 5, 'Healing Light': 20, 'Quicksand': 30, 'Duststorm': 15}	{'Gemmed Habiliment': 3}	590	80	0	0	Mob Battle	0	1
Rumadan Guru Unfleeable	Rumadan Guru	Rumadan Guru	20	1750	1750	25	999	0.1	200	0	30	60	60	60	0	{'Burning Mind': 15, 'Healing Ray': 25, 'Smoulder': 15, 'Duststorm': 15, 'Firestorm': 15, 'Quicksand': 15}	{'Glowing Barrier': 3}	800	100	0	0	Mob Battle	0	1
Silvio Berlusconi1	Silvio Berlusconi	Silvio Berlusconi1	21	50000	50000	70	10	10	200	0	300	80	80	80	90	{}	{}	2500	0	0	25000	Important Battle	0	1
Silvio Berlusconi2	Silvio Berlusconi	Silvio Berlusconi2	22	25000	50000	70	20	10	200	0	600	80	80	80	90	{}	{}	5000	0	0	12500	Important Battle	0	1
Silvio Berlusconi3	Silvio Berlusconi	Silvio Berlusconi3	23	12500	50000	70	40	10	200	0	900	80	80	80	90	{}	{}	10000	0	0	6250	Canonical Battle	0	1
Lesser Dragon	Lesser Dragon	Lesser Dragon	25	30000	30000	22	50	0.1	200	0	150	0	-50	75	0	{'Fireball': 40, 'Fire Claw': 30, 'Firestorm': 20, 'Immolation': 10}	{'Dragon Skin': 15}	7000	0	0	0	Important Battle	1	1
Marciano5	Marciano	Marciano5	26	600	600	200	70	6	200	0	0	90	90	90	90	{'Deep Thrust': 15, 'Revitalize': 15, 'Reckless Rack': 15, 'Steel Twister': 1}	{}	10000	0	0	150	Rival Battle	0	1
Greek Champion	Loukas	Greek Champion	30	25000	25000	75	80	10	200	0	400	75	50	50	25	{'Pummeler\'s Precision': 5, 'Bloodrush Crush': 5}	{'Mighty Flange': 15, 'Morning Star': 80}	20000	0	0	50	Canonical Battle	1	1
Greek Hero1	Greek Hero1	Greek Hero1	30	22000	22000	50	50	10	200	10	300	0	0	0	10	{'Deep Thrust': 30}	{}	3000	0	0	100	Important Battle	0	1
Greek Hero2	Greek Hero2	Greek Hero2	30	20000	20000	60	60	4	200	3	250	0	0	0	0	{'Deep Thrust': 30}	{}	3000	0	0	100	Important Battle	0	1
Greek Hero3	Greek Hero3	Greek Hero3	30	25000	25000	70	20	8	300	1	270	0	0	0	0	{'Deep Thrust': 30}	{}	3000	0	0	100	Important Battle	0	1
Greek Hero4	Greek Hero4	Greek Hero4	30	18000	18000	40	50	10	200	5	250	25	25	25	0	{'Deep Thrust': 30}	{}	3000	0	0	100	Important Battle	0	1
Greek Hero5	Greek Hero5	Greek Hero5	30	30000	30000	60	40	10	200	5	260	0	0	0	0	{'Deep Thrust': 30}	{}	3000	0	0	100	Important Battle	0	1
Greek Hero6	Greek Hero6	Greek Hero6	30	19000	19000	80	30	20	300	1	200	0	0	0	0	{'Deep Thrust': 30}	{}	3000	0	0	100	Important Battle	0	1
Greek Hero7	Greek Hero7	Greek Hero7	30	16000	16000	60	70	4	200	7	220	0	0	0	0	{'Deep Thrust': 30}	{}	3000	0	0	100	Important Battle	0	1
Greek Hero8	Greek Hero8	Greek Hero8	30	21000	21000	55	50	4	200	2	150	0	0	0	0	{'Deep Thrust': 30}	{}	3000	0	0	100	Important Battle	0	1
Greek Hero9	Greek Hero9	Greek Hero9	30	15000	15000	60	50	40	200	3	100	0	0	0	0	{'Deep Thrust': 30}	{}	3000	0	0	100	Important Battle	0	1
Greek Duelist	Greek Duelist	Duelist	26	5000	5000	65	90	2	200	6	100	0	0	0	0	{'Deep Thrust': 10, 'Steadfast Slash': 5, 'Deadly Stab': 5}	{}	1200	0	0	100	Mob Battle	0	1
Greek Swordsman	Greek Swordsman	Greek Swordsman	27	6000	6000	70	90	2	200	0	160	0	0	0	0	{'Deep Thrust': 10, 'Steadfast Slash': 10, 'Steel Twister': 10}	{}	1300	0	0	100	Mob Battle	0	1
Greek Fighter	Greek Fighter	Greek Fighter	27	7000	7000	65	80	10	200	0	180	0	0	0	0	{'Rumble Strike': 30, 'Aerial Assault': 10}	{}	1300	0	0	100	Mob Battle	0	1
Greek Gladiator	Greek Gladiator	Albanian Gladiator	28	8000	8000	60	90	4	200	5	150	0	0	0	0	{'Deep Thrust': 30, 'Rumble Strike': 40, 'Reckless Rack': 3, 'Helix Swing': 20}	{}	1400	0	0	100	Mob Battle	0	1
Greek Knight	Greek Knight	Greek Knight	28	9000	9000	65	90	2	200	2	200	0	0	0	10	{'Defend': 20, 'Deep Thrust': 10, 'Steadfast Slash': 10, 'Helix Swing': 10}	{}	1400	0	0	100	Mob Battle	0	1
The Bladedriver	The Bladedriver	The Bladedriver	33	55000	55000	70	90	4	200	10	400	66	66	66	10	{'Bladedriver\'s Barbarity': 5, 'Steadfast Slash': 5, 'Deep Thrust': 5, 'Scarab Slice': 10}	{}	20000	0	0	100	Canonical Battle	0	1
The Gashmaster	The Gashmaster	The Gashmaster	33	40000	40000	80	70	6	200	0	200	33	100	33	10	{'Gashmaster\'s Grace': 5, 'Shield Breaker': 20, 'Diamond Cutter': 20, 'Seal Sever': 10}	{}	20000	0	0	100	Canonical Battle	0	1
The Impaler	The Impaler	The Impaler	33	60000	60000	75	60	8	200	3	500	33	33	100	10	{'Impaler\'s Impulse': 5, 'Expunging Lunge': 5, 'Deep Thrust': 25, 'Salamander Stab': 10}	{}	20000	0	0	100	Canonical Battle	0	1
The Pummeler	The Pummeler	The Pummeler	33	45000	45000	90	80	10	200	0	300	100	33	33	10	{'Pummeler\'s Precision': 5, 'Bloodrush Crush': 10, 'Helix Swing': 10, 'Shark Smash': 10}	{}	20000	0	0	100	Canonical Battle	0	1
Vampire Bat Unfleeable	Vampire Bat	Vampire Bat	4	70	70	19	90	10	200	0	0	0	0	0	0	{'Bite': 50}	{}	55	0	0	0	Mob Battle	0	1
Goblin Unfleeable	Goblin	Goblin	2	65	65	4	80	10	200	0	2	0	0	0	0	{}	{'Cudgel': 7}	15	5	0	0	Mob Battle	0	1
Orc Unfleeable	Orc	Orc	6	210	210	20	70	6	200	0	18	0	0	0	0	{'Rumble Strike': 5, 'Helix Swing': 10, 'Shield Breaker': 3}	{'Great Axe': 5, 'Bone Vest': 5}	110	30	0	0	Mob Battle	0	1
Moghi Unfleeable	Moghi	Moghi	7	380	380	14	90	10	200	0	20	50	0	-100	0	{'Rumble Strike': 25, 'Crush': 25}	{}	140	0	0	0	Mob Battle	0	1
Unholy Crow Unfleeable	Unholy Crow	Unholy Crow	9	260	260	20	999	10	200	0	13	25	-75	50	0	{'Swoop': 10, 'Death Dart': 10, 'Hot Coals': 20, 'Avalanche': 30}	{'Garnet Fragment': 6}	240	0	0	0	Mob Battle	0	1
Sand Digger Unfleeable	Sand Digger	Sand Digger	12	800	800	32	90	10	200	1	20	50	-100	0	50	{'Bite': 10, 'Shield Breaker': 10}	{}	360	100	0	0	Mob Battle	0	1
Dust Dweller Unfleeable	Dust Dweller	Dust Dweller	17	1700	1700	33	90	10	200	3	120	50	0	-100	0	{'Steel Twister': 15, 'Helix Swing': 20, 'Quicksand': 5}	{}	620	0	0	0	Mob Battle	0	1
Dark Asp Unfleeable	Dark Asp	Dark Asp	22	900	900	33	999	0.1	200	0	70	50	25	-75	0	{'Fireball': 35, 'Firestorm': 10, 'Quicksand': 15, 'Poison Cloud': 5, 'Venomblast': 10}	{}	900	0	0	0	Mob Battle	0	1
Manticore Unfleeable	Manticore	Manticore	23	2200	2200	9	999	0.1	200	0	110	50	-100	50	0	{'Immolation': 40, 'Firestorm': 20, 'Venomblast': 15, 'Dive': 25}	{}	930	0	0	0	Mob Battle	0	1
Ancient Goblin Unfleeable	Ancient Goblin	Ancient Goblin	18	1600	1600	25	999	0.1	200	0	25	30	30	-40	0	{'Fireball': 30, 'Zap': 20, 'Bolt': 40, 'Healing Ray': 10}	{'Impwood Wand': 5}	660	90	0	0	Mob Battle	0	1
Skeleton Arcanist Unfleeable	Skeleton Arcanist	Skeleton Arcanist	23	2200	2200	10	999	0.1	200	0	100	50	50	50	0	{'Icicles': 20, 'Poison Cloud': 20, 'Duststorm': 10, 'Hailstorm': 10, 'Firestorm': 10, 'Healing Ray': 20, 'Asteroid': 10}	{'Shooting Star': 3}	910	100	0	0	Mob Battle	0	0
Skeleton Mage2 Unfleeable	Skeleton Mage	Skeleton Mage2	5	130	130	15	999	0.1	200	0	10	25	50	-100	0	{'Icicles': 25}	{'Wizardmist Cloak': 10}	75	15	0	0	Mob Battle	0	0
Death Commander	Death Commander	Death Commander	27	6000	6000	60	90	4	200	0	350	0	0	0	25	{'Charge': 20, 'Carnivorous Blow': 10, 'Deep Thrust': 10}	{'Mighty Flange': 10, 'Giant Axe': 10}	1300	0	0	0	Important Battle	0	0
Nemean Lion	Nemean Lion	Nemean Lion	35	50000	50000	75	25	10	200	25	2000	75	50	80	0	{'Fire Claw': 20, 'Bite': 20, 'Charge': 20, 'Golden Fur': 10}	{'Golden Sun': 1}	9000	0	0	0	Important Battle	0	1
Teumessian Fox	Teumessian Fox	Teumessian Fox	35	120000	120000	33	100	20	200	0	200	50	50	50	50	{'Charge': 30, 'Bite': 30, 'Nimble Feet': 10, 'Reinvigorate': 2}	{'Golden Sun': 1}	9000	0	0	0	Important Battle	0	1
Stymphalian Bird	Stymphalian Bird	Stymphalian Bird	35	50000	50000	50	90	10	200	0	150	100	25	-25	50	{'Fling Dung': 10, 'Bite': 10, 'Deadly Stab': 5, 'Death Dart': 5, 'Dive': 5, 'Swoop': 5, 'Home In': 10}	{'Golden Sun': 1}	9000	0	0	0	Important Battle	0	1
Hydra	Hydra	Hydra	34	70000	70000	10	20	10	200	0	300	50	75	-100	50	{'Floodtide': 50, 'Torrent Funnel': 20, 'Tsunami': 10, 'Poisonbreath': 15, 'Grow Heads': 5}	{'Helm Splitter': 1}	8000	0	0	0	Important Battle	0	1
Chimera	Chimera	Chimera	34	30000	30000	30	50	10	200	0	250	50	50	50	25	{'Immolation': 30, 'Hailstorm': 20, 'Venomblast': 20, 'Earth Affinity': 10, 'Water Affinity': 10, 'Fire Affinity': 10}	{'Helm Splitter': 1}	8000	0	0	0	Important Battle	0	1
Cerberus	Cerberus	Cerberus	34	30000	30000	50	50	10	200	20	200	25	25	50	25	{'Icicles': 15, 'Rumble Strike': 15, 'Crush': 10, 'Charge': 5, 'Expunging Lunge': 5, 'Defend': 10, 'Aggression': 30}	{'Helm Splitter': 1}	8000	0	0	0	Important Battle	0	1
Cychreides	Cychreides	Cychreides	33	25000	25000	50	50	10	200	0	250	25	-75	75	50	{'Fireball': 50, 'Firestorm': 25, 'Reckless Rack': 25}	{'Guardian Plate': 1}	7000	0	0	0	Important Battle	0	1
Skolopendra	Skolopendra	Skolopendra	33	25000	25000	70	25	10	200	0	200	0	100	-100	25	{'Crush': 50, 'Whirlpool': 20, 'Floodtide': 20, 'Torrent Funnel': 10}	{'Guardian Plate': 1}	7000	0	0	0	Important Battle	0	1
Pterripus	Pterripus	Pterripus	33	20000	20000	55	50	10	200	0	150	100	50	-25	0	{'Healing Light': 15, 'Healing Glow': 20, 'Bolt': 30, 'Derecho': 10, 'Charge': 5, 'Dive': 5}	{'Gyroscopic Flange': 1}	7000	0	0	0	Important Battle	0	1
Gorgon	Gorgon	Gorgon	32	12000	12000	60	60	6	200	0	200	25	25	25	75	{'Power Lob': 20, 'Freezing Arrow': 20, 'Thorns': 15, 'Venom Arrow': 15, 'Lock Eyes': 20}	{'J Bow': 1}	6000	0	0	0	Important Battle	0	1
Harpy	Harpy	Harpy	32	10000	10000	65	100	10	200	0	150	100	25	-75	0	{'Swoop': 10, 'Bolt': 10, 'Carnivorous Blow': 10, 'Fire Claw': 5, 'Blizzard': 10, 'Duststorm': 10, 'Snatch': 20}	{'Gyroscopic Flange': 1}	6000	0	0	0	Important Battle	0	1
Minotaur	Minotaur	Minotaur	32	15000	15000	60	25	8	300	10	170	75	25	-75	25	{'Beat': 75, 'Battery Cage': 10, 'Avalanche': 15}	{'Ornate Halberd': 1}	6000	0	0	0	Important Battle	0	1
Centaur	Centaur	Centaur	31	15000	15000	60	60	6	200	0	170	75	0	-100	0	{'Charge': 15, 'Flaming Arrow': 10, 'Rage': 5}	{'J Bow': 1}	5000	0	0	0	Important Battle	0	1
Satyr	Satyr	Satyr	31	12000	12000	60	90	10	200	5	150	75	0	-100	0	{'Charge': 15, 'Steel Twister': 10, 'Crook Smash': 5}	{'Khabir\'s Shaft': 1}	5000	0	0	0	Important Battle	0	1
Siren	Siren	Siren	31	10000	10000	50	90	10	200	0	100	33	100	33	0	{'Soul Drain': 15, 'Whirlpool': 10, 'Sing': 5}	{'Khabir\'s Shaft': 1}	5000	0	0	0	Important Battle	0	1
Demon Tomas	Demon Tomas	Demon Tomas	35	30000	30000	90	999	0.1	200	0	500	100	50	200	50	{'Fireball': 25, 'Smoulder': 15, 'Soul Drain': 15, 'Reinvigorate': 15}	{}	30000	0	0	1	Tomas Battle	0	1
Stone of Macedonia	Stone of Macedonia	Stone of Macedonia	35	999999	999999	25	50	10	200	0	0	0	0	0	0	{'Zap': 10, 'Strong Attack': 10, 'Soul Siphon': 5, 'Healing Ray': 5, 'Fire Ray': 5, 'Ice Ray': 5, 'Mudslide': 3, 'Fireball': 3, 'Icicles': 3, 'Quicksand': 2, 'Whirlpool': 2, 'Smoulder': 2, 'Avalanche': 1, 'Floodtide': 1, 'Scorch': 1, 'Rock Shot': 5, 'Flaming Arrow': 4, 'Freezing Arrow': 3, 'Venom Arrow': 2, 'Rapid Burst': 1, 'Sting': 3, 'Diamond Cutter': 3, 'Firestorm': 3, 'Torrent Funnel': 3, 'Reckless Rack': 3, 'Shark Smash': 3, 'Seal Stab': 3, 'Salamander Slice': 3, 'Scarab Sever': 3}	{}	30000	0	0	0	None	0	0
Mysterious Summoner1	Furious Summoner	Summoner Black	36	70000	70000	40	150	10	200	5	600	25	25	25	100	{'Steadfast Slash': 3, 'Bloodrush Crush': 3, 'Helix Swing': 6, 'Shield Breaker': 5, 'Diamond Cutter': 5, 'Fireball': 14, 'Mudslide': 14, 'Strong Attack': 50}	{'Avadavra Wand': 1}	30000	0	0	2	Canonical Battle	0	1
Mysterious Summoner2	Mysterious Summoner	Summoner White	36	70000	70000	30	999	0.1	200	0	700	75	75	75	50	{'Smoulder': 30, 'Quicksand': 20, 'Avalanche': 15, 'Hot Coals': 10, 'Duststorm': 6, 'Asteroid': 4, 'Eruption': 3, 'Derecho': 2, 'Healing Ray': 10}	{'Avadavra Wand': 1}	30000	0	0	2	Canonical Battle	0	1
Silvio Berlusconi4	Silvio Berlusconi	Silvio Berlusconi4	37	50000	50000	70	80	10	200	0	1200	80	80	80	90	{'Nero': 5, 'Negletto1': 1, 'Negletto2': 1, 'Negletto3': 1, 'Nefando': 5, 'Nefasto': 5, 'Sunder': 10, 'Silvio Defend': 10, 'Battery Cage': 3, 'Smoke Bomb': 2, 'Wind Up': 1}	{}	99999	30000	0	0	Final Battle	0	1
Pillar	Pillar	Pillar	1	100000	100000	20	100	10	200	0	0	50	999	99	0	{'Stand Firm': 30, 'Crumble No Damage': 30, 'Crumble Rocks': 10, 'Spire': 10, 'Icicle': 10, 'Molten Rocks': 10}	{}	0	0	0	0	Important Battle	0	0
Hungry Bear	Ravenous Bear	Hungry Bear	20	2000	2000	50	90	10	200	0	0	25	100	999	0	{'Bite': 20}	{}	800	0	1	0	None	0	1
Galijula Crab	Galijula Crab	Galijula Crab	4	75	75	15	90	10	200	0	8	0	50	999	0	{}	{}	60	0	1	0	None	0	1
Ice Guardian	Frozen Guardian	Ice Guardian	30	50000	50000	55	90	10	200	10	500	0	90	999	50	{'Healing Ray': 20, 'Reinvigorate': 5, 'Icicles': 5, 'Whirlpool': 15, 'Deep Thrust': 15, 'Steadfast Slash': 15}	{'Guardian Plate': 1, 'Ornate Halberd': 1, 'Helm Splitter': 1, 'Gyroscopic Flange': 1, 'Khabir\'s Shaft': 1, 'J Bow': 1, 'Golden Sun': 1}	1700	400	1	0	None	0	1
Crystal Golem Red	Crystal Golem	Crystal Golem Red	15	1500	1500	22	90	10	200	0	200	0	0	100	100	{'Crystal Explosion Fire': 30, 'Rumble Strike': 10, 'Fireball': 15, 'Smoulder': 10, 'Firestorm': 5}	{'Garnet Fragment': 10}	550	0	1	0	None	0	0
Crystal Golem Green	Crystal Golem	Crystal Golem Green	15	1500	1500	22	90	10	200	0	200	100	0	0	100	{'Crystal Explosion Earth': 30, 'Rumble Strike': 10, 'Mudslide': 15, 'Quicksand': 10, 'Duststorm': 5}	{'Jade Crystal': 10}	550	0	1	0	None	0	0
Crystal Golem Blue	Crystal Golem	Crystal Golem Blue	15	1500	1500	22	90	10	200	0	200	0	100	0	100	{'Crystal Explosion Water': 30, 'Rumble Strike': 10, 'Icicles': 15, 'Whirlpool': 10, 'Hailstorm': 5}	{'Aquamarine Shard': 10}	550	0	1	0	None	0	0
Wandering Giant	Wandering Giant	Wandering Giant	20	3000	3000	40	80	10	200	0	80	0	0	0	50	{'Rumble Strike': 25, 'Crush': 25, 'Shield Breaker': 25}	{'Macedonian Mace': 1}	800	200	1	300	None	0	1
Horn Dog	Horn Dog	Horn Dog	21	2000	2000	38	90	10	200	0	0	0	75	-100	0	{'Charge': 20, 'Bite': 10}	{}	850	0	1	0	None	0	0
Horn Beast	Horn Beast	Horn Beast	23	2500	2500	48	90	10	200	0	0	0	75	-100	0	{'Charge': 20, 'Soul Drain': 10}	{}	950	0	1	0	None	0	0
Eyeless Yeti	Eyeless Yeti	Eyeless Yeti	24	8000	8000	80	10	10	200	0	100	0	100	-100	50	{'Battery Cage': 5, 'Shield Breaker': 5}	{}	1000	0	1	0	None	0	1
Frost Dragon	Frost Dragon	Frost Dragon	26	20000	20000	20	50	0.1	200	0	200	0	100	-100	25	{'Icicles': 50, 'Hailstorm': 10, 'Dive': 20, 'Strong Attack': 10}	{'Frost Dragon Skin': 5}	1200	0	1	0	None	0	1
Angry Eyeless Yeti	Angry Eyeless Yeti	Eyeless Yeti	24	8000	8000	160	10	10	200	0	100	0	100	-100	50	{'Bloodrush Crush': 5, 'Rage': 10, 'Aggression': 10, 'Reckless Rack': 5}	{}	2000	0	1	0	Important Battle	0	1
Ice Spawn	Ice Spawn	Ice Spawn	25	5000	5000	40	90	10	200	0	120	25	100	-75	0	{'Blizzard': 10, 'Seal Smash': 30, 'Soul Drain': 10}	{}	1100	200	1	0	None	0	1
Fire Imp	Fire Imp	Fire Imp	24	2000	2000	30	90	10	200	0	0	25	-75	125	0	{'Firestorm': 10, 'Fireball': 30, 'Burning Mind': 10}	{'Glowing Barrier': 5}	1000	0	1	0	None	0	1
Hellhound	Hellhound	Hellhound	26	5000	5000	60	90	10	200	0	100	0	-100	100	0	{'Bite': 30, 'Smoulder': 10, 'Scorch': 10, 'Charge': 10}	{}	1200	0	1	0	None	0	1
Fire Demon	Fire Demon	Fire Demon	27	8000	8000	70	90	4	200	0	150	0	-100	100	0	{'Fireball': 15, 'Scorch': 10, 'Carnivorous Blow': 15, 'Diamond Cutter': 15, 'Burning Mind': 10}	{'Flametongue': 7}	1300	0	1	0	None	0	1
Animated Magma	Animated Magma	Animated Magma	30	25000	25000	22	90	10	200	0	600	50	-100	100	50	{'Molten Rocks': 5, 'Hot Coals': 15, 'Scorch': 10, 'Immolation': 20, 'Strong Attack': 50}	{'Rock Shield': 10, 'Glowing Barrier': 5}	1700	0	1	0	None	0	0
Greater Dragon	Greater Dragon	Greater Dragon	27	50000	50000	25	50	0.1	200	0	300	0	-50	100	25	{'Fireball': 30, 'Fire Claw': 20, 'Firestorm': 30, 'Immolation': 20}	{'Dragon Skin': 10}	3000	0	1	0	Important Battle	0	1
Lava Spirit	Lava Spirit	Lava Spirit	30	30000	30000	25	90	0.1	200	0	300	33	-17	500	100	{'Hot Coals': 20, 'Melting Touch': 15, 'Scorch': 40, 'Healing Ray': 15, 'Firestorm': 10}	{'Flame Guard': 10, 'Glowing Barrier': 5, 'Luminescent Barrier': 5}	4000	300	1	0	Important Battle	0	0
Elder Dragon	Elder Dragon	Elder Dragon	31	70000	70000	28	50	0.1	200	0	450	25	-25	200	50	{'Fireball': 20, 'Fire Claw': 10, 'Firestorm': 40, 'Immolation': 30}	{'Dragon Skin': 30}	5000	0	1	0	Important Battle	0	1
Tectonic Beast	Tectonic Beast	Tectonic Beast	35	50000	50000	33	90	10	200	0	1200	50	-50	100	99	{'Fireball': 30, 'Avalanche': 14, 'Fumarole': 6, 'Strong Attack': 30, 'Immolation': 20}	{'Rock Shield': 5, 'Flame Guard': 35, 'Flametongue': 60}	9000	0	1	0	Important Battle	1	0
Vismurg	Vismurg	Vismurg	35	250000	250000	100	90	10	200	0	2000	100	0	50	0	{'Crush': 15, 'Avalanche': 10, 'Asteroid': 5, 'Aerial Assault': 3, 'Sleep': 3}	{'Gaia Suit': 75, 'Jade Ward': 25}	100000	0	0	0	Guardian Battle	1	0
Aldreed	Aldreed	Aldreed	40	500000	500000	150	90	10	200	0	1000	50	100	0	0	{'Frostburn': 15, 'Hailstorm': 10, 'Icebreath': 5, 'Blizzard': 3, 'Mist': 1, 'Dive': 1}	{'Frost Dragon Skin': 75, 'Aquamarine Ward': 25}	200000	0	0	0	Guardian Battle	1	0
Oukkar	Oukkar	Oukkar	45	1000000	1000000	150	90	10	200	0	1000	100	75	75	0	{'Bolt': 15, 'Dive': 5, 'Derecho': 5, 'Healing Light': 5, 'Eruption': 3, 'Duststorm': 3, 'Fumarole': 3, 'Blizzard': 2, 'Swoop': 1}	{'Prismatic Garb': 75, 'Garnet Ward': 25}	300000	0	0	0	Guardian Battle	1	0
Final Pespozeor	Pespozeor	Pespozeor2	50	2000000	2000000	200	90	10	200	0	3000	50	0	100	25	{'Bite': 8, 'Crush': 3, 'Fire Claw': 10, 'Scorch': 10, 'Firestorm': 5, 'Eruption': 5}	{'Beast Hide': 100}	400000	0	0	0	Guardian Battle	1	0
